Object,Close-Approach (CA) Date,CA Distance Nominal (LD | au),CA Distance Minimum (LD | au),V relative (km/s),V infinity (km/s),H (mag),Estimated Diameter,
(2012 OD1),1901-Jul-27 19:34ξαξ< 00:01,14.48 | 0.03721,14.48 | 0.03721,23.65,23.65,18.6,510 m -  1.1 km,bK12O01D
(2011 DS),1901-Aug-14 19:20ξαξξξξ10:47,7.94 | 0.02040,0.73 | 0.00187,7.17,7.16,26.9,11 m -   25 m,bK11D00S
1620 Geographos (1951 RA),1901-Aug-23 17:36ξαξ< 00:01,13.19 | 0.03390,13.19 | 0.03390,11.76,11.76,15.6,2.0 km -  4.5 km,a0001620
(2012 DM32),1901-Aug-31 06:39ξαξ1_07:20,6.92 | 0.01779,4.50 | 0.01156,7.89,7.87,26.2,15 m -   34 m,bK12D32M
(2006 BE55),1901-Sep-06 11:14ξαξξξξ00:04,9.66 | 0.02482,9.66 | 0.02482,13.27,13.26,21.9,110 m -  250 m,bK06B55E
226514 (2003 UX34),1901-Sep-07 12:24ξαξ< 00:01,10.97 | 0.02819,10.97 | 0.02819,20.71,20.7,20.1,250 m -  570 m,a0226514
(2010 FX9),1901-Sep-10 09:52ξαξξξξ00:01,17.80 | 0.04575,17.78 | 0.04570,11.85,11.85,24.2,38 m -   86 m,bK10F09X
(2012 RT16),1901-Sep-11 16:37ξαξξξξ04:05,13.19 | 0.03390,5.62 | 0.01445,11.03,11.03,26.9,11 m -   25 m,bK12R16T
(2015 CX12),1901-Sep-18 10:51ξαξξξξ13:32,17.18 | 0.04416,14.07 | 0.03615,15.7,15.69,20,270 m -  590 m,bK15C12X
(2016 HS19),1901-Oct-02 02:46ξαξξξξ00:55,18.24 | 0.04688,18.21 | 0.04680,18.84,18.83,20.8,180 m -  410 m,bK16H19S
180186 (2003 QZ30),1901-Oct-07 23:44ξαξξξξ00:04,18.44 | 0.04737,18.42 | 0.04734,12.94,12.93,17.4,880 m -  2.0 km,a0180186
306383 (1993 VD),1901-Oct-23 09:18ξαξ< 00:01,9.30 | 0.02390,9.30 | 0.02388,16.31,16.3,21.5,130 m -  300 m,a0306383
(2008 VR4),1901-Oct-29 10:28ξαξξξξ00:02,18.56 | 0.04769,18.49 | 0.04751,13.52,13.51,23,67 m -  150 m,bK08V04R
418849 (2008 WM64),1901-Dec-22 02:36ξαξ< 00:01,14.69 | 0.03775,14.69 | 0.03774,17.4,17.39,20.7,190 m -  430 m,a0418849
(2013 CW32),1902-Jan-29 05:14ξαξξξξ00:07,14.10 | 0.03623,14.10 | 0.03623,16.55,16.55,21.9,110 m -  250 m,bK13C32W
(2009 BE58),1902-Feb-10 22:42ξαξξξξ00:10,10.03 | 0.02578,9.64 | 0.02478,16.89,16.88,21.8,120 m -  260 m,bK09B58E
(2010 XQ69),1902-Feb-20 08:36ξαξξξξ00:03,15.84 | 0.04070,15.81 | 0.04063,12.3,12.29,23.2,61 m -  140 m,bK10X69Q
(2001 CP36),1902-Feb-25 21:35ξαξξξξ00:03,10.09 | 0.02594,10.08 | 0.02589,9.52,9.51,23.7,48 m -  110 m,bK01C36P
(2016 FU12),1902-Feb-27 20:36ξαξξξξ00:27,19.42 | 0.04990,13.94 | 0.03581,3.53,3.51,26.9,11 m -   25 m,bK16F12U
(2001 FC58),1902-Mar-22 04:21ξαξξξξ01:09,5.56 | 0.01428,4.94 | 0.01270,10.78,10.77,20.4,220 m -  490 m,bK01F58C
(2015 SO2),1902-Apr-01 01:56ξαξ< 00:01,15.18 | 0.03901,15.18 | 0.03900,5.91,5.9,23.9,44 m -   99 m,bK15S02O
(2015 TM143),1902-Apr-06 13:06ξαξξξξ00:22,17.46 | 0.04486,17.22 | 0.04426,7.05,7.04,23.6,51 m -  110 m,bK15TE3M
25143 Itokawa (1998 SF36),1902-Apr-14 16:44ξαξξξξ00:03,15.57 | 0.04000,15.56 | 0.03999,5.27,5.26,19.2,380 m -  860 m,a0025143
(2006 HW50),1902-Apr-17 01:52ξαξξξξ00:02,9.36 | 0.02405,9.36 | 0.02404,4.08,4.06,24.4,35 m -   78 m,bK06H50W
(2006 HV50),1902-Apr-22 17:36ξαξ3_01:14,13.18 | 0.03387,13.14 | 0.03377,9.38,9.37,23.6,51 m -  110 m,bK06H50V
418135 (2008 AG33),1902-Apr-25 12:49ξαξξξξ00:05,14.14 | 0.03635,14.12 | 0.03628,10.25,10.24,19.6,320 m -  710 m,a0418135
(2013 EN89),1902-Apr-26 01:51ξαξ1_20:30,12.64 | 0.03247,9.10 | 0.02339,3.85,3.82,26.7,12 m -   27 m,bK13E89N
(2011 EX4),1902-May-09 19:24ξαξξξξ00:27,19.33 | 0.04967,19.31 | 0.04963,6.73,6.72,24.6,32 m -   71 m,bK11E04X
(2007 VD12),1902-May-25 18:38ξαξ< 00:01,6.27 | 0.01611,6.27 | 0.01611,15.89,15.88,20,270 m -  590 m,bK07V12D
(2016 DB),1902-Jun-01 09:47ξαξξξξ02:07,14.52 | 0.03731,9.68 | 0.02487,9.97,9.96,28.5,5.3 m -   12 m,bK16D00B
(2003 HP32),1902-Jun-06 08:44ξαξ< 00:01,8.52 | 0.02189,8.51 | 0.02187,22.17,22.16,19.6,320 m -  710 m,bK03H32P
