Object Designation  ,Date (yyyy-mm-dd.dd),Distance (rEarth),Sigma Impact  ,Stretch LOV (rEarth),Sigma LOV  ,Impact Probability  ,Width (rEarth),Impact Energy (Mt),Palermo Scale  ,Torino Scale  ,
(2017 GM7),2056-06-19.68,11.57,3.163,6.05E+04,-1.68736,1.70E-09,3.34E+00,2.35E+04,-5.35,0,bK17G07M
(2007 FT3),2035-10-03.62,50.25,1.034,9.84E+05,-0.82409,4.40E-09,4.76E+01,2.72E+03,-5.36,0,bK07F03T
(2008 UV99),2081-03-29.36,21.32,1.2,1.02E+06,0.50282,1.20E-08,1.69E+01,3.78E+03,-5.36,0,bK08U99V
(2016 WG),2076-06-23.30,0.28,0,8.06E+05,-1.37553,3.70E-07,4.72E-03,4.52E+01,-5.36,0,bK16W00G
(2016 NL56),2058-08-25.26,15.84,0.646,1.44E+05,-0.6615,9.40E-08,2.30E+01,1.53E+02,-5.37,0,bK16N56L
(2001 CA21),2073-10-12.70,31.52,1.503,2.65E+06,-1.25259,1.30E-09,2.03E+01,4.74E+04,-5.38,0,bK01C21A
(2007 FT3),2058-10-03.77,74.9,1.557,2.76E+05,-0.53957,9.50E-09,4.75E+01,2.67E+03,-5.38,0,bK07F03T
(2007 FT3),2042-10-03.87,117.94,2.447,7.95E+04,-0.39134,5.80E-09,4.78E+01,2.64E+03,-5.38,0,bK07F03T
(2013 WM),2047-11-20.48,0.55,0,1.03E+05,2.6352,2.00E-07,2.66E-02,3.97E+01,-5.38,0,bK13W00M
(2015 ME131),2025-08-18.33,5.05,0.006,9.39E+05,0.73669,6.40E-10,6.36E+02,1.04E+04,-5.38,0,bK15MD1E
(2008 PK9),2049-08-10.48,1.93,0.901,3.09E+05,-1.42217,1.30E-07,1.03E+00,7.55E+01,-5.39,0,bK08P09K
410777 (2009 FD),2191-03-30.21,0.79,0,7.19E+05,1.225,4.00E-07,< 1.e-04,1.45E+02,-5.39,,a0410777
(2016 WG),2076-06-23.29,0.44,0,2.07E+06,0.1201,3.40E-07,4.39E-03,4.50E+01,-5.39,0,bK16W00G
